Latitude,Longitude,Stop Name,Stop Status
40.689764,-73.983121,FULTON ST/FLATBUSH AV EXT,1 stop away
40.693669,-73.917966,GATES AV/EVERGREEN AV,1 stop away
40.685552,-73.956345,GATES AV/CLASSON AV,1 stop away
40.688256,-73.932882,GATES AV/LEWIS AV,1 stop away
40.689641,-73.921922,GATES AV/RALPH AV,1 stop away
40.695022,-73.990743,N/A,N/A
40.686846,-73.945114,GATES AV/THROOP AV,1 stop away
40.688499,-73.930751,GATES AV/PATCHEN AV,1 stop away
40.685853,-73.953757,GATES AV/FRANKLIN AV,1 stop away
40.685665,-73.955383,GATES AV/CLASSON AV,1 stop away
40.692195,-73.989114,FULTON ST/HOYT ST,1 stop away
40.696332,-73.915351,GATES AV/CENTRAL AV,1 stop away
40.696121,-73.989266,FULTON ST/SMITH ST,1 stop away
