Latitude,Longitude,Stop Name,Stop Status
40.685485,-73.95693,GATES AV/CLASSON AV,1 stop away
40.688605,-73.929826,GATES AV/PATCHEN AV,1 stop away
40.689058,-73.981331,FULTON ST/ASHLAND PL,1 stop away
40.686947,-73.944235,GATES AV/THROOP AV,1 stop away
40.691633,-73.987787,FULTON ST/HOYT ST,1 stop away
40.694237,-73.917409,GATES AV/EVERGREEN AV,1 stop away
40.685604,-73.955898,GATES AV/CLASSON AV,1 stop away
40.685853,-73.953757,GATES AV/FRANKLIN AV,1 stop away
40.692795,-73.918824,GATES AV/BUSHWICK AV,1 stop away
40.68941,-73.922763,GATES AV/PATCHEN AV,1 stop away
40.696178,-73.991092,ADAMS ST/BKLYN SUPREME CRT,1 stop away
40.688117,-73.934038,GATES AV/MARCUS GARVEY BL,1 stop away
40.700503,-73.910046,GATES AV/IRVING AV,1 stop away
40.695823,-73.988976,FULTON ST/SMITH ST,1 stop away
